"","C1","C2","INT_S1_D0_E1","P_S1_D0_E1","INT_S1_D0_E2","P_S1_D0_E2","INT_S1_D0_E3","P_S1_D0_E3","INT_S1_D0_E4","P_S1_D0_E4","INT_S1_D1_E1","P_S1_D1_E1","INT_S1_D1_E2","P_S1_D1_E2","INT_S1_D1_E3","P_S1_D1_E3","INT_S1_D1_E4","P_S1_D1_E4","INT_S2_D0_E1","P_S2_D0_E1","INT_S2_D0_E2","P_S2_D0_E2","INT_S2_D0_E3","P_S2_D0_E3","INT_S2_D0_E4","P_S2_D0_E4","INT_S2_D1_E1","P_S2_D1_E1","INT_S2_D1_E2","P_S2_D1_E2","INT_S2_D1_E3","P_S2_D1_E3","INT_S2_D1_E4","P_S2_D1_E4","INT_S3_D0_E1","P_S3_D0_E1","INT_S3_D0_E2","P_S3_D0_E2","INT_S3_D0_E3","P_S3_D0_E3","INT_S3_D0_E4","P_S3_D0_E4","INT_S3_D1_E1","P_S3_D1_E1","INT_S3_D1_E2","P_S3_D1_E2","INT_S3_D1_E3","P_S3_D1_E3","INT_S3_D1_E4","P_S3_D1_E4"
"409",3,-0.7,0,0,-89112.1,1,0,0,0,0,0,0,0,0,0,0,0,0,-41170.1,1,-49346.4,1,-53953,1,-40669.6,1,0,0,0,0,0,0,0,0,-79757.9,1,0,0,0,0,0,0,0,0,0,0,-73736.8,1,0,0
"410",3,-0.6,0,0,-83385.5,1,0,0,-96166.3,1,-53177.4,1,0,0,-96040.2,1,-68056.7,1,0,0,0,0,-58115.4,1,0,0,-54618.1,1,0,0,0,0,-26787.5,1,0,0,0,0,-83375.5,1,0,0,0,0,0,0,0,0,0,0
"411",3,-0.5,0,0,0,0,-64038.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60720.1,1,-54809.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95303.9,1,0,0,-100527.3,1,-66599.9,1
"412",3,-0.4,0,0,-37136.2,1,0,0,0,0,0,0,0,0,0,0,-80153.1,1,-72957.2,1,0,0,-27012.9,1,-69114.1,1,0,0,0,0,0,0,-20709.8,1,0,0,0,0,-61879.9,1,0,0,0,0,-71498.2,1,-101192,1,0,0
"413",3,-0.3,-69520.4,1,-71898,1,0,0,0,0,0,0,-48774.5,1,0,0,-84768.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43413,1,0,0,0,0,0,0,0,0,0,0,0,0
"414",3,-0.2,-55113.5,1,0,0,0,0,-67795.1,1,-63463,1,0,0,0,0,-70878.6,1,-40024.5,1,-83482.3,1,-46971.7,1,-44729.9,1,0,0,0,0,0,0,0,0,-69780.9,1,-62636.2,1,0,0,-89482,1,0,0,0,0,0,0,0,0
"415",3,-0.1,0,0,-108270.2,1,-65236.8,1,0,0,-71654.1,1,0,0,0,0,-100015.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"416",3,0,0,0,0,0,0,0,-43799.9,1,-67910,1,-36103.4,1,0,0,0,0,-34923.5,1,-15525.5,1,-23841,1,0,0,0,0,0,0,0,0,-33882.2,1,0,0,-50976.6,1,0,0,0,0,0,0,0,0,0,0,-89352.8,1
"417",3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-130286.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"418",3,0.2,0,0,0,0,-15017.5,1,0,0,-35162.3,1,0,0,0,0,-56018.3,1,0,0,0,0,-67376.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63666.5,1,0,0,-124265.5,1
"419",3,0.3,0,0,-74228.5,1,-85266.4,1,0,0,0,0,-56993.9,1,0,0,0,0,0,0,0,0,0,0,-35661.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89046.4,1,-58204.5,1
"420",3,0.4,0,0,-31009.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32113,1,-11525.8,1,-51499,1,0,0,0,0,0,0,0,0,0,0,0,0,-81659.3,1,0,0,0,0,0,0,0,0,0,0
"421",3,0.5,-38139.1,1,-34734.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36594.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"422",3,0.6,0,0,-31623.8,1,0,0,0,0,0,0,0,0,-160729.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"423",3,0.7,-53444.1,1,0,0,-72570,1,-57021.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100994.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-49663.6,1,0,0,0,0,0,0
"424",3,0.8,-52234.5,1,-10546.5,1,1988.8,1,-116190,1,-50374.6,1,0,0,0,0,0,0,0,0,0,0,-62769.4,1,0,0,-29368,1,0,0,-27788.8,1,-29041.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"425",3,0.9,0,0,0,0,0,0,-106205,1,0,0,0,0,0,0,0,0,-79317.4,1,-43793.1,1,0,0,0,0,-42192.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"426",3,1,0,0,0,0,0,0,-34827.7,1,0,0,0,0,0,0,0,0,-69669.5,1,0,0,-14155.1,1,-37683,1,0,0,0,0,0,0,0,0,0,0,-73518.1,1,0,0,0,0,-65090.9,1,0,0,-89068,1,0,0
"427",3,1.1,-100450.9,1,-6654.6,1,0,0,0,0,0,0,0,0,0,0,-92727.1,1,0,0,0,0,-53641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109044.1,1,0,0
"428",3,1.2,0,0,0,0,-32595.1,1,-30282.5,1,0,0,0,0,0,0,0,0,-46247.3,1,-66807.1,1,-83520.2,1,0,0,-41947.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58615.4,1
"429",3,1.3,-60774,1,0,0,-48142.3,1,-88051.6,1,0,0,-86986,1,0,0,0,0,0,0,0,0,0,0,-60055.7,1,0,0,0,0,0,0,0,0,-79015.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"430",3,1.4,0,0,0,0,0,0,-63362.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33571.5,1,0,0,0,0,0,0,0,0,0,0,0,0,-13124.9,1,-70034,1
"431",3,1.5,0,0,0,0,-195459.3,1,0,0,0,0,0,0,0,0,-74625.4,1,-49376.3,1,-66219.9,1,0,0,-44499.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"432",3,1.6,0,0,-13480.5,1,0,0,0,0,0,0,0,0,0,0,0,0,-72485.3,1,-31416.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433",3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33169.4,1,35463.6,1,0,0,0,0,86591.7,1,18603.6,1,39240.5,1,36954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"434",3,1.8,-57197.3,1,0,0,0,0,0,0,0,0,0,0,-40778.7,1,0,0,0,0,0,0,0,0,-56751.6,1,0,0,0,0,-23592.3,1,0,0,0,0,0,0,0,0,0,0,0,0,-70837.1,1,0,0,0,0
"435",3,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13011.8,1,-41346.9,1,-35386.5,1,0,0,0,0,-44190.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80414.3,1,0,0
"436",3,2,-1216.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75214.7,1
"437",3,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56329.5,1,-38401.8,1,-54497.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23269.9,1,0,0,0,0
"438",3,2.2,-106625.7,1,-96065,1,0,0,0,0,0,0,0,0,0,0,0,0,-49362.6,1,-59109.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"439",3,2.3,-347.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103857.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21272,1,0,0
"440",3,2.4,0,0,0,0,0,0,43082.7,1,0,0,0,0,0,0,0,0,-2406.3,1,0,0,0,0,-94232.9,1,0,0,39542.2,1,48453.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"441",3,2.5,114531.3,1,18793,1,2212.1,1,0,0,0,0,0,0,0,0,76089.5,1,4616.7,1,42179.3,1,4322.4,1,25527.4,1,0,0,0,0,0,0,0,0,66795.1,1,61456.7,1,62107.7,1,60976.9,1,17009.1,1,24877.3,1,23782.8,1,33704.9,1
"442",3,2.6,9135,1,4563.1,1,12287.2,1,23357.7,1,33682.5,1,37043.5,1,6193.7,1,46224.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16089.9,1,0,0,0,0,0,0,0,0,0,0
"443",3,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4082.9,1,-2405.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57288.9,1,0,0
"444",3,2.8,0,0,0,0,0,0,0,0,0,0,16165.5,1,14500.6,1,9742.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"445",3,2.9,20637.8,1,29689.2,1,59646.4,1,20892.6,1,0,0,0,0,40929.4,1,0,0,11702.5,1,37583.6,1,16477.8,1,31421.4,1,0,0,0,0,0,0,0,0,23529.8,1,0,0,11801.9,1,16830.5,1,0,0,15483.5,1,0,0,0,0
"446",3,3,26680.2,1,78967052.3,1,28792.3,1,0,0,56012,1,24651.2,1,57690.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116036.7,1,73053.4,1,119056,1,130221.4,1,47642.8,1,124350.3,1,144826.1,1,129088.4,1
"447",3,3.1,176096.9,1,51121210.2,1,653874.6,1,0,0,578363.1,1,350207.8,1,573729.2,1,0,0,15171.3,1,0,0,24112.3,1,29287.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"448",3,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54305.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"449",3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-101509,1
"450",3,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59596.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"451",3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,-61456.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"452",3,3.6,0,0,-73363.1,1,0,0,0,0,0,0,0,0,0,0,0,0,-47370.5,1,0,0,0,0,-64241.2,1,0,0,0,0,0,0,-21734.6,1,0,0,0,0,0,0,0,0,0,0,46621.1,1,0,0,0,0
"453",3,3.7,0,0,-97683.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43268.6,1,-30162,1,-52710.2,1,0,0,0,0,0,0,-34070.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"454",3,3.8,-115038.8,1,0,0,0,0,10861.9,1,-48915.6,1,68788.9,1,0,0,-56371.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45760.5,1,117524,1,0,0,0,0,0,0,0,0,0,0
"455",3,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64726.5,1,0,0,0,0,-15978.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59659,1,0,0,0,0,0,0
"456",3,4,83127.5,1,0,0,125204.3,1,0,0,18918,1,447758.2,1,65630.8,1,591564.7,1,0,0,11414.6,1,32199.4,1,476826.4,1,0,0,0,0,256659.2,1,243959.2,1,9982.3,1,13042.7,1,0,0,28855.6,1,0,0,25138.7,1,-7347.6,1,2847.9,1
"457",3,4.1,1678129.2,1,2598387,1,3454218.8,1,2669329.2,1,1227426.8,1,2231835.8,1,1999479.5,1,2502612,1,2577134.5,1,2241229.8,1,4311860.6,1,2584621.2,1,2176041.2,1,947773.4,1,900617.1,1,850117.2,1,18569.2,1,0,0,34705.1,1,25966.1,1,15198.6,1,26018,1,21613,1,0,0
"458",3,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-128917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83776,1,0,0
"459",3,4.3,-72109.9,1,-89484,1,0,0,-9531,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24207.5,1,0,0,0,0,0,0,-33923.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"460",3,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30497.5,1,0,0,0,0,-76087.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"461",3,4.5,-863.4,1,0,0,0,0,0,0,-19747.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"462",3,4.6,0,0,-75901.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68038.3,1,-76741.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"463",3,4.7,0,0,0,0,-45028,1,0,0,0,0,0,0,0,0,0,0,0,0,-58734.8,1,0,0,0,0,-28794.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76261,1,0,0
"464",3,4.8,72665.3,1,41685.9,1,178803.8,1,3284,1,230337.2,1,42383,1,0,0,743776.7,1,-30146.7,1,196660.7,1,-15763.9,1,-28042,1,-4628,1,152,1,49328.4,1,-29302,1,59119.6,1,88075.5,1,0,0,49515.1,1,168460.3,1,-1868,1,69840.9,1,51089,1
"465",3,4.9,-60756.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43494.8,1,-45955.7,1,0,0,0,0,-24148,1,0,0,0,0,-68443.6,1,0,0,0,0,0,0,0,0,-68309.9,1,-100798.8,1,0,0
"466",3,5,-32500.3,1,0,0,-42241.3,1,-57352.1,1,0,0,0,0,0,0,-58343.6,1,0,0,-32306.3,1,0,0,-13957.5,1,-50420.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31808.5,1,0,0,-70520.1,1
"467",3,5.1,0,0,-40611.8,1,-61496.9,1,-49389.9,1,0,0,0,0,0,0,-54188.2,1,-11097.9,1,-37463.3,1,-58436.8,1,-42677.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74350.9,1,0,0,0,0,-16532.1,1
"468",3,5.2,-49766.2,1,-43090.5,1,0,0,0,0,0,0,-57280.8,1,0,0,0,0,0,0,0,0,-63267.5,1,-23890.9,1,-32658.5,1,-21740,1,0,0,0,0,0,0,0,0,0,0,-59174,1,0,0,-12031.7,1,-23095.9,1,0,0
"469",3,5.3,-646.2,1,-111607.1,1,-17251.5,1,-37482.8,1,-657,1,0,0,0,0,-77934.3,1,-38589.7,1,-40807,1,-19390.7,1,0,0,0,0,0,0,-31564.3,1,0,0,0,0,-47868.9,1,0,0,-16595.9,1,0,0,0,0,-46170.3,1,-57548.7,1
"470",3,5.4,0,0,-82457.2,1,-18937.3,1,-15604.3,1,0,0,-39213.2,1,-64074.3,1,-87017,1,0,0,-25222.5,1,0,0,-52404.9,1,0,0,0,0,0,0,-23769.1,1,0,0,0,0,0,0,-46566,1,0,0,0,0,-58812.4,1,-82557.8,1
"471",3,5.5,-56786.2,1,-10529.2,1,0,0,-62658.4,1,0,0,0,0,0,0,-62167.2,1,0,0,0,0,0,0,-404,1,0,0,0,0,0,0,0,0,-43013.9,1,0,0,0,0,0,0,0,0,0,0,0,0,-125253,1
"472",3,5.6,-118492.5,1,0,0,-46756.6,1,-94552.7,1,0,0,0,0,-48352.6,1,-109725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61403.4,1,-111863.7,1,0,0,-74832,1,-47748.9,1,0,0
"473",3,5.7,0,0,-57228,1,-70136.8,1,0,0,-61594.4,1,-71674.9,1,-62960.2,1,0,0,0,0,-36784.9,1,-73672.5,1,-64085.3,1,0,0,0,0,0,0,0,0,-13073.1,1,0,0,0,0,-52463.8,1,-49982.6,1,0,0,-82338,1,0,0
"474",3,5.8,0,0,-100254.6,1,0,0,0,0,0,0,0,0,-90290.4,1,0,0,0,0,-43801.6,1,0,0,0,0,0,0,0,0,0,0,-38176.2,1,-69965.4,1,0,0,0,0,0,0,0,0,-57158.7,1,-53264.2,1,0,0
"475",3,5.9,-44175.3,1,-117507.2,1,0,0,-41579.3,1,-60886.8,1,0,0,0,0,-95831.4,1,0,0,0,0,0,0,0,0,0,0,0,0,-40721.1,1,0,0,0,0,0,0,-66914.8,1,0,0,-1289.7,1,0,0,0,0,0,0
"476",3,6,0,0,-92419.8,1,0,0,-11754.9,1,0,0,0,0,-106830.5,1,-73294.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42483.6,1,0,0,0,0,0,0,0,0,-35934.1,1,-88290.1,1,0,0
"477",3,6.1,0,0,-93679.3,1,0,0,-48892.3,1,0,0,-57019.2,1,-60711.6,1,0,0,-33999.7,1,0,0,-47725.9,1,0,0,-54548.9,1,0,0,0,0,0,0,0,0,0,0,0,0,-66374.9,1,0,0,-55698.8,1,0,0,0,0
"478",3,6.2,-82168,1,0,0,-70193.4,1,0,0,0,0,-71929.6,1,0,0,-77939,1,0,0,-1158.6,1,-5360,1,-58088.4,1,0,0,0,0,0,0,-27790.8,1,0,0,-40376.2,1,0,0,0,0,-58183.6,1,0,0,0,0,-58297.6,1
"479",3,6.3,0,0,-61009,1,-96351,1,-104380.5,1,0,0,0,0,-89750.1,1,0,0,-38453.3,1,-37667.3,1,0,0,-84364,1,0,0,0,0,0,0,0,0,0,0,0,0,-37637.3,1,0,0,0,0,-3968.5,1,-78657.9,1,-17573.7,1
"480",3,6.4,-67348.7,1,-79545.1,1,-92221.2,1,-97058,1,0,0,-65943.5,1,0,0,0,0,0,0,-7990.6,1,0,0,0,0,0,0,-24753.2,1,0,0,0,0,0,0,0,0,0,0,0,0,-48198,1,-63318.3,1,-86888,1,0,0
"481",3,6.5,-91526.9,1,0,0,0,0,0,0,0,0,-79668.8,1,-56629.2,1,0,0,-68458.5,1,0,0,-43121.5,1,-87976.5,1,0,0,0,0,0,0,-9310.8,1,0,0,-406,1,0,0,0,0,-84247.2,1,-1411.5,1,0,0,-33103.7,1
"482",3,6.6,-57254.5,1,0,0,-71001.7,1,-61524.8,1,0,0,-83335.5,1,-63452.6,1,-147246.9,1,0,0,0,0,-46853.6,1,-40620,1,0,0,0,0,-36874.9,1,0,0,0,0,-58827,1,0,0,0,0,0,0,0,0,0,0,0,0
"483",3,6.7,0,0,0,0,-24744.3,1,-135927.4,1,0,0,0,0,-62464.6,1,0,0,0,0,-50196.5,1,-93564.9,1,-60098.8,1,0,0,0,0,0,0,0,0,0,0,0,0,-65115.3,1,-66316.2,1,-44298.1,1,-90361.1,1,0,0,0,0
"484",3,6.8,-106123.7,1,-138504.2,1,0,0,-55764.9,1,0,0,-59707.8,1,0,0,0,0,-46570.3,1,-32240.1,1,-49901.4,1,-45740.3,1,0,0,0,0,0,0,0,0,-35936.6,1,0,0,0,0,0,0,-39870.1,1,0,0,-70990,1,0,0
"485",3,6.9,0,0,-8167.2,1,-90212.8,1,0,0,0,0,-63803.8,1,-19610.7,1,-78963.6,1,-26429.1,1,-44861.1,1,-67413.6,1,0,0,-57959.1,1,0,0,0,0,0,0,-62129.5,1,0,0,-78396.6,1,-62161.5,1,-70708.1,1,0,0,0,0,-103844.3,1
"486",3,7,-78318.5,1,0,0,-42832.2,1,-43300.4,1,-68001.8,1,0,0,-154040.4,1,-60959.2,1,0,0,0,0,0,0,-67612.9,1,0,0,0,0,-35737,1,0,0,-100994.8,1,0,0,-74772,1,0,0,0,0,-56362.2,1,0,0,-51174.7,1
"487",3,7.1,0,0,-77632.6,1,-2965.5,1,-57531.9,1,0,0,-68544.3,1,0,0,-58007.2,1,0,0,-31645.5,1,-22657.3,1,-41373.1,1,0,0,-35072,1,-25734.8,1,0,0,-103712.2,1,-76737.7,1,-51970,1,0,0,0,0,0,0,-75399.9,1,0,0
"488",3,7.2,-117841,1,-92900.4,1,-75862.9,1,-70805.5,1,0,0,-68211,1,-49121.7,1,0,0,-37739.1,1,0,0,-47078,1,-34071.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64284.3,1,-79978.1,1,-70544.1,1,0,0
"489",3,7.3,0,0,-31013.9,1,-116535.1,1,-82480.1,1,0,0,0,0,-69574,1,-94605.6,1,-24540,1,-49076.7,1,-50992.8,1,-56878.6,1,0,0,-24382.8,1,0,0,0,0,-70075.1,1,0,0,-56905.2,1,0,0,0,0,0,0,-88128.3,1,-19583.3,1
"490",3,7.4,-48548.7,1,-1925.9,1,0,0,-47611,1,-51459.2,1,-73003.5,1,0,0,0,0,0,0,-58203.4,1,0,0,-60538.5,1,0,0,0,0,-30413.7,1,-33149.3,1,-111442.4,1,-78440.8,1,-69039.4,1,-107584.7,1,0,0,-41960.6,1,0,0,-83335.8,1
"491",3,7.5,-95957.5,1,-54125.8,1,-59284.3,1,-49009,1,-98428.2,1,-14715.1,1,0,0,0,0,-45177.1,1,-56934.7,1,-62027.5,1,0,0,0,0,-26399.4,1,0,0,0,0,-212005.7,1,0,0,-177637.1,1,0,0,0,0,-72213.2,1,0,0,0,0
"492",3,7.6,-55732.6,1,0,0,0,0,-110753.1,1,-38741.4,1,0,0,0,0,-56859.8,1,-59227.5,1,-43992.1,1,0,0,-100295.7,1,0,0,0,0,0,0,-31472.4,1,0,0,-87915,1,0,0,-173367.3,1,-103225.3,1,0,0,-89147.4,1,0,0
"493",3,7.7,0,0,-116976,1,-16818.8,1,0,0,0,0,-76956.7,1,0,0,0,0,0,0,-49630,1,0,0,0,0,0,0,-35595.1,1,0,0,-34016.8,1,-128131.7,1,0,0,0,0,0,0,0,0,0,0,-27970.2,1,-87817.1,1
"494",3,7.8,-107583.6,1,-95812.5,1,-84581.3,1,-95943.4,1,0,0,0,0,0,0,0,0,-37124.5,1,0,0,-44280.8,1,-34387.8,1,-64805.1,1,-42255.3,1,0,0,0,0,0,0,0,0,0,0,-89688.1,1,0,0,-41359.5,1,0,0,-70932.5,1
"495",3,7.9,0,0,0,0,0,0,0,0,-68269.2,1,-103296.9,1,0,0,-66419.1,1,-73980.2,1,0,0,-41877.7,1,-86845.5,1,0,0,0,0,0,0,0,0,-98578.9,1,0,0,0,0,0,0,-80443.2,1,0,0,0,0,-73774.3,1
"496",3,8,-71289.9,1,-65259.9,1,-87192,1,-38174.6,1,-76325.1,1,-84341.4,1,0,0,0,0,-39696.4,1,-100559.1,1,-99573.6,1,-86613.3,1,0,0,0,0,0,0,-43481.2,1,-43453.1,1,-96114.1,1,-73437.5,1,0,0,0,0,-97278.7,1,-103357,1,-116860,1
"497",3,8.1,-68481.5,1,-181165.8,1,-87464.5,1,0,0,0,0,-57675,1,-69946.1,1,-69975,1,-64143.9,1,0,0,0,0,-53156,1,0,0,0,0,0,0,0,0,-72648.2,1,-84705.1,1,0,0,0,0,0,0,0,0,0,0,0,0
"498",3,8.2,0,0,-44276.4,1,0,0,-43610.5,1,0,0,-87688.3,1,-89516.6,1,-121632.7,1,0,0,-59413,1,-51014.4,1,-62436.8,1,-46912.1,1,0,0,0,0,-30538.4,1,-122221.8,1,-90518.7,1,0,0,0,0,-66057.8,1,-78444.6,1,0,0,0,0
"499",3,8.3,-83583.2,1,0,0,-95713.9,1,0,0,0,0,0,0,-104748.8,1,-63477,1,0,0,-71584.6,1,0,0,0,0,0,0,-41406.4,1,0,0,0,0,0,0,-81912.9,1,-84137.1,1,0,0,-77425.3,1,0,0,-72170.8,1,-196422.4,1
"500",3,8.4,-69349.6,1,0,0,-123391.5,1,-82972.3,1,-61326.9,1,0,0,0,0,0,0,-52180.5,1,-42887.6,1,-66507.2,1,-92019.6,1,-52813.9,1,-41499.5,1,-35695.4,1,-37849.6,1,-177372.2,1,-71890.2,1,0,0,-128015.4,1,-105460.6,1,0,0,-64706,1,0,0
"501",3,8.5,-51310.7,1,-33753.1,1,-81793,1,-92273.7,1,0,0,0,0,-109163.5,1,-105210.5,1,-85080.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50504.3,1,0,0,0,0,0,0,-108353,1,0,0,0,0,0,0
"502",3,8.6,0,0,-69080.8,1,-125910,1,0,0,0,0,-169901.7,1,-71403.3,1,0,0,0,0,-61403.5,1,-84328.2,1,-22402.5,1,0,0,0,0,-41406.8,1,0,0,0,0,0,0,-88177,1,-121780,1,0,0,0,0,0,0,-75827.2,1
"503",3,8.7,-64823.5,1,0,0,0,0,-52631.6,1,-79081.4,1,0,0,-81533.2,1,-81032.6,1,0,0,0,0,0,0,-43421.1,1,-61064.5,1,0,0,0,0,-37799.9,1,-188728.2,1,0,0,0,0,-103940.5,1,0,0,-97904.1,1,0,0,-102104.2,1
"504",3,8.8,-83413.5,1,-51491.5,1,-49036,1,-110062.6,1,0,0,0,0,0,0,0,0,-36029.4,1,-49106.2,1,-60396.5,1,0,0,-47532.3,1,0,0,-41231.4,1,-28586.7,1,0,0,0,0,0,0,0,0,-104710.4,1,0,0,-71931.6,1,-71419.7,1
"505",3,8.9,-57521.2,1,0,0,-122629.4,1,0,0,-90840.2,1,-183968.5,1,-82316.2,1,-82264.5,1,0,0,0,0,0,0,-68354.8,1,0,0,-28752.3,1,0,0,0,0,0,0,0,0,-111319.8,1,0,0,-97630.8,1,-75368.7,1,-109068.7,1,-51660.8,1
"506",3,9,-92117.4,1,-79044.9,1,0,0,-84401.5,1,0,0,0,0,-111952,1,-127462.1,1,-59569.9,1,-71459.4,1,-88389.2,1,-53477.2,1,0,0,0,0,-36888.8,1,0,0,0,0,-93265.7,1,0,0,-81857,1,-74309.8,1,-93667.5,1,-105125.2,1,0,0
"507",3,9.1,0,0,-102330.6,1,-74905.7,1,0,0,-89967.5,1,-99467.7,1,-69412.8,1,0,0,-65483.9,1,-54302.1,1,-76163.3,1,0,0,0,0,-35113.6,1,-32937.9,1,-35724.9,1,-101952.4,1,0,0,0,0,0,0,-84016.7,1,-102461,1,-94793.5,1,-111169.2,1
