"","C1","C2","INT_S1_D0_E1","P_S1_D0_E1","INT_S1_D0_E2","P_S1_D0_E2","INT_S1_D0_E3","P_S1_D0_E3","INT_S1_D0_E4","P_S1_D0_E4","INT_S1_D1_E1","P_S1_D1_E1","INT_S1_D1_E2","P_S1_D1_E2","INT_S1_D1_E3","P_S1_D1_E3","INT_S1_D1_E4","P_S1_D1_E4","INT_S2_D0_E1","P_S2_D0_E1","INT_S2_D0_E2","P_S2_D0_E2","INT_S2_D0_E3","P_S2_D0_E3","INT_S2_D0_E4","P_S2_D0_E4","INT_S2_D1_E1","P_S2_D1_E1","INT_S2_D1_E2","P_S2_D1_E2","INT_S2_D1_E3","P_S2_D1_E3","INT_S2_D1_E4","P_S2_D1_E4","INT_S3_D0_E1","P_S3_D0_E1","INT_S3_D0_E2","P_S3_D0_E2","INT_S3_D0_E3","P_S3_D0_E3","INT_S3_D0_E4","P_S3_D0_E4","INT_S3_D1_E1","P_S3_D1_E1","INT_S3_D1_E2","P_S3_D1_E2","INT_S3_D1_E3","P_S3_D1_E3","INT_S3_D1_E4","P_S3_D1_E4"
"22",-1.8,3,0,0,-1584.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31618,1,0,0,-31850.4,1,-1651,1,0,0,0,0,0,0,0,0,-1148.5,1,0,0,0,0
"23",-1.8,3.1,-90456,1,0,0,-131,1,-59196.7,1,0,0,-2676.7,1,-592.7,1,-80733.5,1,0,0,0,0,-1419.2,1,-1870,1,-59658.4,1,-36334.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",-1.8,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81275.5,1,0,0,-83619.1,1,0,0,0,0,-86682.7,1,-74270.6,1,0,0
"25",-1.8,4.1,-53555.8,1,0,0,-411,1,-72778.4,1,0,0,-55705.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72881.8,1,-85165,1,0,0,0,0,-62350.5,1
"26",-1.8,4.8,0,0,0,0,-45903.5,1,-66516.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-225.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",-1.7,3,0,0,0,0,0,0,-610,1,0,0,0,0,0,0,0,0,-32803.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-679.7,1,0,0
"28",-1.7,3.1,0,0,0,0,0,0,0,0,0,0,-11909,1,0,0,0,0,0,0,-71811.1,1,0,0,0,0,0,0,0,0,0,0,-33517,1,0,0,0,0,0,0,0,0,0,0,-34,1,0,0,0,0
"29",-1.7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-119799.3,1,-80584.8,1,0,0,0,0,-7711.2,1,0,0,-1252.4,1,0,0
"30",-1.7,3.8,0,0,0,0,0,0,-45325.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",-1.7,4.1,-50971.9,1,-12584.8,1,0,0,-54364.5,1,0,0,0,0,0,0,-86146.2,1,-34826.2,1,-41186.6,1,0,0,-897.2,1,0,0,0,0,0,0,0,0,0,0,0,0,-73034.7,1,0,0,0,0,0,0,0,0,0,0
